Unnamed: 0,reviews
0,"
Very easy to use, set up and adjust resistance. Solid but portable. Primarily for chest, front delts and upper arms. Can be modified for biceps. It‚??s possible to do some behind the back stuff but that‚??s pretty awkward. It‚??s Exactly what I was looking for. Shoulder injuries limit traditional exercises like pushups for me so I am very happy to find this device to strengthen this area. I warm up on the 6-8 setting and progress to 10-12. There is a lot more potential resistance as I improve.I prefer this device to the much bigger and more expensive Bullworker for chest and shoulders exercise.
"
1,"
I like the idea that the screws are easy to get to and tighten if the arms get loose. The other device I purchased which is supposed to be a newer version has a cover over everything. I can't get it off since the screws holding it on won't loosen without stripping. So I just went ahead and bought this one. It feels very sturdy. I just used it for the first time. It is much more practical than the newer version. I'm getting in a good workout while I'm able to precisely set my resistance level in order to keep track of my progress. I'm wondering though how I can already be at notch 18 which is supposed to be equivalent to 400 Lbs. Maybe I'm stronger than what I thought. I am not massively huge. Oh well, anyway It's giving me an awesome workout. While people notice I'm building, I'm trying to keep it discreet how I'm doing It. Let'em think I'm going to the gym lol. I just don't know what I'm going to do once after I reach level 20(440Lbs). At least all the other exercises such as for back and biceps, and shoulders I don't need quite the max resistance, so I don't think that I'm going to outgrow the device anytime soon. As for how long the device will hold up, I'm not really worried about it. Probably at least 3 months. It's not really that expensive, so I figure I'll just buy a new one since the workout it gives me is all well worth it. Time will tell how long this one holds up. Think of all the hassle you would otherwise go through going to the gym and the money spent daily. This device is worth it even if you had to buy a new one every once in a while. Think about it lol!
"
2,"
I have only had this one day, but do like the feel of this piece of equipment. I feel that I can make upper body and core gains by using this is addition to other exercises. I am going to try and be creative and use this for thighs as well.
"
3,"
I actually enjoy using this for several sets every day in between working out with weights and resistance bands.  There are several ways to hold this and knock off sets.  As you progress with your strength you can adjust the dial for more resistance.  I always like to be able to feel a little burn in the muscles while using it... if I'm not feeling it then I dial it up a notch.  With it's small size I keep it along the side of the sofa and can knock out a few sets while my wife and I are watching a movie.  I've seen a few reviews saying that some people had some of the bolts loosen up or the cylinder start leaking fluid... mine has definitely not had either of those problems and I use it minimum of 4 to 6 sets a day. It's convenient, well made and a really good price to start working on your upper body muscle groups... watch a few videos and you will see the many different ways to use this. I highly recommend this no matter your skill level.
"
4,"
This works great,  I bought one for myself and one for my sister and my sister‚??s only use hers a few times and when she got it out yesterday, it‚??s leaking a lot if  oil from the shaft.Update: the seller contacted me about the above issue  and they will be replacing the product.  Great customer service.
"
5,"
This is a sturdy piece of equipment that is easy to store in a teens room. My teen took it on vacation with him in his duffle.
"
6,"
I thought one of the main functions of this was for bicep curls-which this is 100% useless for. It will only work your forearms not your biceps. It can be used for chest flys & if you face it backwards you can press it to the ground with 1 hand & get a decent tricep press but that's really about it. Very limited uses for this.
"
7,"
I can't beleive people would be out looking for this. But when you see it you notice simple things. It's adjustable and sturdy. It has a sharp and unique appearance. You can take it on the go with ease.. It does make some noise but not loud enough to bother anyone.. The grip and feel is comfortable.
"
8,"
This is great for a chest workout when you can't make it to the gym.  I'm an avid lifter, and I still feel like this goes up to a high-enough resistance for me to get a great workout.  The only thing is that it touts that you can also use it for arms or other exercises, and I've yet to figure out any way to actually do that.  But for just chest, it's great.
"
9,"
I am a Baby Boomer (in my 70's ??≥) and am dealing with flabby arms.I was formerly in great shape with wonderful muscle tone.  I have been looking for the one perfect piece of equipment that would transform my arms so I look good in cap sleeve or sleeveless clothes again.??•THIS IS IT...!!!!??•At the lowest easiest setting (2), it is perfectly *difficult enough* to challenge my muscles. All I can say is, WOW.RIGHT AWAY I could feel my muscles respond. They were pumped and it felt great. They began to improve immediately.This thing affects your shoulders, triceps, pectorals, lower arms, biceps, and trapezoids....all at the same time.??ÅI can't tell you enough, how amazing this thing is. I *highly* recommend giving it serious consideration. ?è?‚?ç‚??Ô∏è?è??è?‚?ç‚??Ô∏è
"
10,"
Very easy to use, set up and adjust resistance. Solid but portable. Primarily for chest, front delts and upper arms. Can be modified for biceps. It‚??s possible to do some behind the back stuff but that‚??s pretty awkward. It‚??s Exactly what I was looking for. Shoulder injuries limit traditional exercises like pushups for me so I am very happy to find this device to strengthen this area. I warm up on the 6-8 setting and progress to 10-12. There is a lot more potential resistance as I improve.I prefer this device to the much bigger and more expensive Bullworker for chest and shoulders exercise.
"
11,"
I like the idea that the screws are easy to get to and tighten if the arms get loose. The other device I purchased which is supposed to be a newer version has a cover over everything. I can't get it off since the screws holding it on won't loosen without stripping. So I just went ahead and bought this one. It feels very sturdy. I just used it for the first time. It is much more practical than the newer version. I'm getting in a good workout while I'm able to precisely set my resistance level in order to keep track of my progress. I'm wondering though how I can already be at notch 18 which is supposed to be equivalent to 400 Lbs. Maybe I'm stronger than what I thought. I am not massively huge. Oh well, anyway It's giving me an awesome workout. While people notice I'm building, I'm trying to keep it discreet how I'm doing It. Let'em think I'm going to the gym lol. I just don't know what I'm going to do once after I reach level 20(440Lbs). At least all the other exercises such as for back and biceps, and shoulders I don't need quite the max resistance, so I don't think that I'm going to outgrow the device anytime soon. As for how long the device will hold up, I'm not really worried about it. Probably at least 3 months. It's not really that expensive, so I figure I'll just buy a new one since the workout it gives me is all well worth it. Time will tell how long this one holds up. Think of all the hassle you would otherwise go through going to the gym and the money spent daily. This device is worth it even if you had to buy a new one every once in a while. Think about it lol!
"
12,"
I have only had this one day, but do like the feel of this piece of equipment. I feel that I can make upper body and core gains by using this is addition to other exercises. I am going to try and be creative and use this for thighs as well.
"
13,"
I actually enjoy using this for several sets every day in between working out with weights and resistance bands.  There are several ways to hold this and knock off sets.  As you progress with your strength you can adjust the dial for more resistance.  I always like to be able to feel a little burn in the muscles while using it... if I'm not feeling it then I dial it up a notch.  With it's small size I keep it along the side of the sofa and can knock out a few sets while my wife and I are watching a movie.  I've seen a few reviews saying that some people had some of the bolts loosen up or the cylinder start leaking fluid... mine has definitely not had either of those problems and I use it minimum of 4 to 6 sets a day. It's convenient, well made and a really good price to start working on your upper body muscle groups... watch a few videos and you will see the many different ways to use this. I highly recommend this no matter your skill level.
"
14,"
This works great,  I bought one for myself and one for my sister and my sister‚??s only use hers a few times and when she got it out yesterday, it‚??s leaking a lot if  oil from the shaft.Update: the seller contacted me about the above issue  and they will be replacing the product.  Great customer service.
"
15,"
This is a sturdy piece of equipment that is easy to store in a teens room. My teen took it on vacation with him in his duffle.
"
16,"
I thought one of the main functions of this was for bicep curls-which this is 100% useless for. It will only work your forearms not your biceps. It can be used for chest flys & if you face it backwards you can press it to the ground with 1 hand & get a decent tricep press but that's really about it. Very limited uses for this.
"
17,"
I can't beleive people would be out looking for this. But when you see it you notice simple things. It's adjustable and sturdy. It has a sharp and unique appearance. You can take it on the go with ease.. It does make some noise but not loud enough to bother anyone.. The grip and feel is comfortable.
"
18,"
This is great for a chest workout when you can't make it to the gym.  I'm an avid lifter, and I still feel like this goes up to a high-enough resistance for me to get a great workout.  The only thing is that it touts that you can also use it for arms or other exercises, and I've yet to figure out any way to actually do that.  But for just chest, it's great.
"
19,"
I am a Baby Boomer (in my 70's ??≥) and am dealing with flabby arms.I was formerly in great shape with wonderful muscle tone.  I have been looking for the one perfect piece of equipment that would transform my arms so I look good in cap sleeve or sleeveless clothes again.??•THIS IS IT...!!!!??•At the lowest easiest setting (2), it is perfectly *difficult enough* to challenge my muscles. All I can say is, WOW.RIGHT AWAY I could feel my muscles respond. They were pumped and it felt great. They began to improve immediately.This thing affects your shoulders, triceps, pectorals, lower arms, biceps, and trapezoids....all at the same time.??ÅI can't tell you enough, how amazing this thing is. I *highly* recommend giving it serious consideration. ?è?‚?ç‚??Ô∏è?è??è?‚?ç‚??Ô∏è
"
20,"
After having Covid 3 times, my lungs have a hard time while I‚??m working out. I was hoping this would really improve the strength of my lungs. I‚??m not asking for a miracle , just improvement. It has helped my habit of proper breathing to develop but it makes my mouth so tired that I dread doing it. The inside of my cheeks and lips just get so tired and the drool drips. Whether or not it would actually improve my lungs I can‚??t really say but lean toward - probably to at least some extent.
"
21,"
So, for what this is designed for, it works very well. You just pop it into your mouth as it shows in the product pictures and focus on breathing through your mouth rather than your nose. The air flow control is somewhat limited, but still offers a good enough range for progression. I don't have any issues with this version of the product, but I will warn you, if you're not used to it, you may end up over salivating while using it so when taking it out, have a napkin or something handy, and remember to wash between uses.
"
22,"
Used these during and they definitely help with breathing training. Would recommend for more outdoor type sports and training due to the fact if you drool, it will drop out of it. Kind of gross but it works lol the strength and difficulty is adjustable. Would recommend
"
23,"
It fits good, it does a good job... BUT...You end up breathing in quite cold air, it dries your mouth fast, but it creates extra saliva thats starts dripping on the sides.Not sure how this can benefit anyone. Sounds like good idea, but it's a little gadget that might serve you better than it serves me
"
24,"
My kids have been walking around like zombies blowing into these things in hopes that it will improve their soccer stamina. All I see is two dinosaurs with drool coming out of the sides of their mouth. I'm not sure how much longer I'll be keeping these around- they don't report feeling any differently after a week of use.
"
25,"
I both hate and love these things. I train often, and most times it's with a hypoxic mask -- you know, the elevation masks? I got used to that feeling after years of using them, so I decided to try these since they're supposed to do the same thing roughly.When I tell you these work, I mean it. Do NOT try to be a hero and adjust this to it's hardest setting and have an intense workout. You will literally feel it in your lungs. I'm telling you, I legitimately felt my lungs be sore from working with this. Take it slow.All I can really say without getting all scientific is that these work exactly as they're supposed to. And they work well.
"
26,"
Usually I have my husband put together all of the items that come to our home that need assembling but this time I am proud to say I was able to do it all on my own the product was easy to assemble I did it in about 15 minutes max even without the instructions I was able to piece together by the picture exactly where to put what parts my husband waited in anticipation to see what this contraption was I have always used a ab trainer since I was a teenager and I was excited to get a new one it helps you keep good form  so that there‚??s no extra strain on your neck not to mention that based on where you grab the handles it goes from easier to harder depending on what your needs are I absolutely love the fact that there‚??s no more strain on my neck and I don‚??t have to question my form  as someone who works out all the time it‚??s generally hard to get my abs sore but with the proper form of this trainer I was able to achieve that. I‚??m officially addicted
"
27,"
A very inexpensive piece of equipment for any home gym. Great for crunch and side crunch exercises. Worth the investment!
"
